date,year,month,month_number,year_number,total_arr,_comment_headcount,engineering_headcount,product_headcount,sales_headcount,marketing_headcount,customer_success_headcount,g_and_a_headcount,compliance_experts_headcount,total_headcount,_comment_base_salary,_comment_benefits,_comment_payroll_tax,_comment_bonus,_comment_equity,_comment_total_comp,engineering_base_salary,engineering_benefits,engineering_payroll_tax,engineering_bonus,engineering_equity,engineering_total_comp,product_base_salary,product_benefits,product_payroll_tax,product_bonus,product_equity,product_total_comp,sales_base_salary,sales_benefits,sales_payroll_tax,sales_bonus,sales_equity,sales_total_comp,marketing_base_salary,marketing_benefits,marketing_payroll_tax,marketing_bonus,marketing_equity,marketing_total_comp,customer_success_base_salary,customer_success_benefits,customer_success_payroll_tax,customer_success_bonus,customer_success_equity,customer_success_total_comp,g_and_a_base_salary,g_and_a_benefits,g_and_a_payroll_tax,g_and_a_bonus,g_and_a_equity,g_and_a_total_comp,compliance_experts_base_salary,compliance_experts_benefits,compliance_experts_payroll_tax,compliance_experts_bonus,compliance_experts_equity,compliance_experts_total_comp,total_base_salary,total_benefits,total_payroll_tax,total_bonus,total_equity,total_compensation,cogs__comment,cogs_cloud_hosting,cogs_customer_support,cogs_third_party_apis,cogs_professional_services,total_cogs,marketing__comment,marketing_paid_advertising,marketing_content_creation,marketing_events_and_pr,marketing_partner_marketing,total_marketing_expenses,sales__comment,sales_commission_rate,sales_tools_and_enablement,total_sales_expenses,r_and_d__comment,r_and_d_cloud_compute_for_training,r_and_d_research_tools_and_data,r_and_d_third_party_research,total_r_and_d_expenses,g_and_a__comment,g_and_a_office_and_facilities,g_and_a_per_employee_office_cost,g_and_a_software_and_tools,g_and_a_legal_and_accounting,g_and_a_insurance,total_g_and_a_expenses,one_time_expenses,total_expenses,total_operating_expenses,cogs_as_percent_of_arr,opex_as_percent_of_arr
2025-01-01,2025,1,1,1,398000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,3316.6666666666665,1658.3333333333333,663.3333333333334,0.0,5638.333333333333,0.0,2653.3333333333335,995.0,3316.6666666666665,0.0,6965.0,0.0,3582.0,331.6666666666667,3913.6666666666665,0.0,0.0,2653.3333333333335,1990.0,4643.333333333334,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,257560.33333333334,251922.0,17.0,759.5638190954775
2025-02-01,2025,2,2,1,398000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,3316.6666666666665,1658.3333333333333,663.3333333333334,0.0,5638.333333333333,0.0,2653.3333333333335,995.0,3316.6666666666665,0.0,6965.0,0.0,3582.0,331.6666666666667,3913.6666666666665,0.0,0.0,2653.3333333333335,1990.0,4643.333333333334,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,257560.33333333334,251922.0,17.0,759.5638190954775
2025-03-01,2025,3,3,1,398000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,3316.6666666666665,1658.3333333333333,663.3333333333334,0.0,5638.333333333333,0.0,2653.3333333333335,995.0,3316.6666666666665,0.0,6965.0,0.0,3582.0,331.6666666666667,3913.6666666666665,0.0,0.0,2653.3333333333335,1990.0,4643.333333333334,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,257560.33333333334,251922.0,17.0,759.5638190954775
2025-04-01,2025,4,4,1,648000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,5400.0,2700.0,1080.0,0.0,9180.0,0.0,4320.0,1620.0,5400.0,0.0,11340.0,0.0,5832.0,540.0,6372.0,0.0,0.0,4320.0,3240.0,7560.0,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,50000.0,320852.0,311672.0,17.0,577.1703703703704
2025-05-01,2025,5,5,1,648000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,5400.0,2700.0,1080.0,0.0,9180.0,0.0,4320.0,1620.0,5400.0,0.0,11340.0,0.0,5832.0,540.0,6372.0,0.0,0.0,4320.0,3240.0,7560.0,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,270852.0,261672.0,17.0,484.57777777777784
2025-06-01,2025,6,6,1,648000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,5400.0,2700.0,1080.0,0.0,9180.0,0.0,4320.0,1620.0,5400.0,0.0,11340.0,0.0,5832.0,540.0,6372.0,0.0,0.0,4320.0,3240.0,7560.0,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,270852.0,261672.0,17.0,484.57777777777784
2025-07-01,2025,7,7,1,648000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,5400.0,2700.0,1080.0,0.0,9180.0,0.0,4320.0,1620.0,5400.0,0.0,11340.0,0.0,5832.0,540.0,6372.0,0.0,0.0,4320.0,3240.0,7560.0,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,270852.0,261672.0,17.0,484.57777777777784
2025-08-01,2025,8,8,1,648000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,5400.0,2700.0,1080.0,0.0,9180.0,0.0,4320.0,1620.0,5400.0,0.0,11340.0,0.0,5832.0,540.0,6372.0,0.0,0.0,4320.0,3240.0,7560.0,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,270852.0,261672.0,17.0,484.57777777777784
2025-09-01,2025,9,9,1,898000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,7483.333333333333,3741.6666666666665,1496.6666666666667,0.0,12721.666666666666,0.0,5986.666666666667,2245.0,7483.333333333333,0.0,15715.0,0.0,8082.0,748.3333333333334,8830.333333333334,0.0,0.0,5986.666666666667,4490.0,10476.666666666668,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,284143.6666666667,271422.0,17.0,362.702004454343
2025-10-01,2025,10,10,1,1148000.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.666666666664,0.0,10833.333333333334,0.0,0.0,65000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,30000.0,0.0,6000.0,0.0,0.0,36000.0,11666.666666666666,0.0,2333.3333333333335,0.0,0.0,14000.0,10833.333333333334,0.0,2166.666666666667,0.0,0.0,13000.0,8333.333333333334,0.0,1666.666666666667,0.0,0.0,10000.0,12500.0,0.0,2500.0,0.0,0.0,15000.0,139166.66666666666,0.0,27833.333333333336,0.0,0.0,167000.0,0.0,9566.666666666666,4783.333333333333,1913.3333333333333,0.0,16263.333333333334,0.0,7653.333333333333,2870.0,9566.666666666666,0.0,20090.0,0.0,10332.0,956.6666666666666,11288.666666666666,0.0,0.0,7653.333333333333,5740.0,13393.333333333332,0.0,7400.0,0.0,36000.0,1000.0,25000.0,69400.0,0.0,297435.3333333333,281172.0,17.0,293.90801393728225
